Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
7.036645000000019,1000,,,,0,-0.046875,-0.958984375,-0.12353433226486173,-18.453265066134517,16.029319583391437,0.011870639491814106,0,0,0.19027827407351564,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116180311133086,0.05859375,0.013521551737713189,0,1,1,1,0,0,0,0,,
7.047594999999972,1000,,,,0,-0.046875,-0.955078125,-0.12353433226486173,-18.453265066134517,16.02932046842825,0.011510574819199842,0,0,0.18450669255277483,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116180311133086,0.05859375,0.013497380713444751,0,1,1,1,0,0,0,0,,
7.062474999999918,1000,,,,0,-0.046875,-0.95703125,-0.12353433226486173,-18.453265066134517,16.0293216129943,0.011192233967027648,0,0,0.1794039178253652,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116180311133086,0.05859375,0.013471314904575399,0,1,1,1,0,0,0,0,,
7.07164499999996,1000,,,,0,-0.046875,-0.958984375,-0.12353433226486173,-18.453265066134517,16.029140571283037,0.011727431689764617,0,0,0.1879806510953564,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116180311133086,0.05859375,0.013492434232114103,0,1,1,1,0,0,0,0,,
7.086824999999953,1000,,,,0,-0.046875,-0.9609375,-0.12353433226486173,-18.452563522957846,16.029036810666536,0.010943361368031063,0,0,0.17541154220059602,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116108459660957,0.05859375,0.013443008680924268,0,1,1,1,0,0,0,0,,
7.097700000000011,1000,,,,0,-0.046875,-0.955078125,-0.12353433226486173,-18.452563522957846,16.029100391794113,0.011392740801625167,0,0,0.18261538604693875,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116108459660957,0.05859375,0.013457708347364816,0,1,1,1,0,0,0,0,,
7.114974999999976,1000,,,,0,-0.046875,-0.958984375,-0.12353433226486173,-18.452563522957846,16.029236336601812,0.011097982385626648,0,0,0.17789218251865352,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116108459660957,0.05859375,0.013432966731230706,0,1,1,1,0,0,0,0,,
7.127650000000023,1000,,,,0,-0.046875,-0.95703125,-0.12353433226486173,-18.452563522957846,16.029121717978626,0.010810088955453101,0,0,0.17327623164913417,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116108459660957,0.05859375,0.013406542683120637,0,1,1,1,0,0,0,0,,
7.144099999999977,1000,,,,0,-0.044921875,-0.95703125,-0.12353433226486173,-18.452563522957846,16.028850222537386,0.010528948925701442,0,0,0.16876694533081435,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116108459660957,0.05859375,0.0133781319565483,0,1,1,1,0,0,0,0,,
7.1538900000000725,1000,,,,0,-0.046875,-0.95703125,-0.12353433226486173,-18.452563522957846,16.028801040036022,0.010664702522365122,0,0,0.17094239488216084,0,0,0,0,-0.21366452225821728,-0.9481937233091873,1.116108459660957,0.05859375,0.01337663814309567,0,1,1,1,0,0,0,0,,
